1-Wire/iButton Part Number: DS2422
1-Wire/iButton Registration Number: 46000000811E9741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Aug 26 14:10:01 EDT 2025
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Aug 26 14:10:01 EDT 2025
Total Mission Samples:  8192
Total Device Samples:  10432
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/27/25 12:30:01 PM,C,18
8/27/25 12:40:01 PM,C,18
8/27/25 12:50:01 PM,C,18
8/27/25 1:00:01 PM,C,18
8/27/25 1:10:01 PM,C,18
8/27/25 1:20:01 PM,C,18
8/27/25 1:30:01 PM,C,18
8/27/25 1:40:01 PM,C,18
8/27/25 1:50:01 PM,C,18
8/27/25 2:00:01 PM,C,18
8/27/25 2:10:01 PM,C,18
8/27/25 2:20:01 PM,C,18
8/27/25 2:30:01 PM,C,18
8/27/25 2:40:01 PM,C,18
8/27/25 2:50:01 PM,C,18
8/27/25 3:00:01 PM,C,18
8/27/25 3:10:01 PM,C,18
8/27/25 3:20:01 PM,C,18
8/27/25 3:30:01 PM,C,18
8/27/25 3:40:01 PM,C,18
8/27/25 3:50:01 PM,C,18
8/27/25 4:00:01 PM,C,18
8/27/25 4:10:01 PM,C,18
8/27/25 4:20:01 PM,C,18
8/27/25 4:30:01 PM,C,18
8/27/25 4:40:01 PM,C,18
8/27/25 4:50:01 PM,C,18
8/27/25 5:00:01 PM,C,18
8/27/25 5:10:01 PM,C,18
8/27/25 5:20:01 PM,C,18
8/27/25 5:30:01 PM,C,18
8/27/25 5:40:01 PM,C,18
8/27/25 5:50:01 PM,C,18
8/27/25 6:00:01 PM,C,18
8/27/25 6:10:01 PM,C,18
8/27/25 6:20:01 PM,C,18
8/27/25 6:30:01 PM,C,18
8/27/25 6:40:01 PM,C,18
8/27/25 6:50:01 PM,C,18
8/27/25 7:00:01 PM,C,18
8/27/25 7:10:01 PM,C,18
8/27/25 7:20:01 PM,C,18
8/27/25 7:30:01 PM,C,18
8/27/25 7:40:01 PM,C,18
8/27/25 7:50:01 PM,C,18
8/27/25 8:00:01 PM,C,18
8/27/25 8:10:01 PM,C,18
8/27/25 8:20:01 PM,C,18
8/27/25 8:30:01 PM,C,18
8/27/25 8:40:01 PM,C,18
8/27/25 8:50:01 PM,C,18
8/27/25 9:00:01 PM,C,18
8/27/25 9:10:01 PM,C,18
8/27/25 9:20:01 PM,C,18
8/27/25 9:30:01 PM,C,18
8/27/25 9:40:01 PM,C,18
8/27/25 9:50:01 PM,C,18
8/27/25 10:00:01 PM,C,18
8/27/25 10:10:01 PM,C,17.5
8/27/25 10:20:01 PM,C,17
8/27/25 10:30:01 PM,C,17
8/27/25 10:40:01 PM,C,16.5
8/27/25 10:50:01 PM,C,16.5
8/27/25 11:00:01 PM,C,16
8/27/25 11:10:01 PM,C,16
8/27/25 11:20:01 PM,C,15.5
8/27/25 11:30:01 PM,C,15.5
8/27/25 11:40:01 PM,C,16
8/27/25 11:50:01 PM,C,15.5
8/28/25 12:00:01 AM,C,15.5
8/28/25 12:10:01 AM,C,15.5
8/28/25 12:20:01 AM,C,15
8/28/25 12:30:01 AM,C,15
8/28/25 12:40:01 AM,C,15
8/28/25 12:50:01 AM,C,15.5
8/28/25 1:00:01 AM,C,15
8/28/25 1:10:01 AM,C,15
8/28/25 1:20:01 AM,C,15
8/28/25 1:30:01 AM,C,15
8/28/25 1:40:01 AM,C,15.5
8/28/25 1:50:01 AM,C,15
8/28/25 2:00:01 AM,C,15
8/28/25 2:10:01 AM,C,15
8/28/25 2:20:01 AM,C,15
8/28/25 2:30:01 AM,C,15
8/28/25 2:40:01 AM,C,15
8/28/25 2:50:01 AM,C,15
8/28/25 3:00:01 AM,C,15
8/28/25 3:10:01 AM,C,15
8/28/25 3:20:01 AM,C,15
8/28/25 3:30:01 AM,C,15
8/28/25 3:40:01 AM,C,15
8/28/25 3:50:01 AM,C,15
8/28/25 4:00:01 AM,C,15
8/28/25 4:10:01 AM,C,15
8/28/25 4:20:01 AM,C,15
8/28/25 4:30:01 AM,C,15
8/28/25 4:40:01 AM,C,15
8/28/25 4:50:01 AM,C,15
8/28/25 5:00:01 AM,C,15
8/28/25 5:10:01 AM,C,15
8/28/25 5:20:01 AM,C,15
8/28/25 5:30:01 AM,C,15
8/28/25 5:40:01 AM,C,15
8/28/25 5:50:01 AM,C,15
8/28/25 6:00:01 AM,C,15
8/28/25 6:10:01 AM,C,15
8/28/25 6:20:01 AM,C,15.5
8/28/25 6:30:01 AM,C,15.5
8/28/25 6:40:01 AM,C,16
8/28/25 6:50:01 AM,C,16
8/28/25 7:00:01 AM,C,16
8/28/25 7:10:01 AM,C,16.5
8/28/25 7:20:01 AM,C,16.5
8/28/25 7:30:01 AM,C,16.5
8/28/25 7:40:01 AM,C,16.5
8/28/25 7:50:01 AM,C,17
8/28/25 8:00:01 AM,C,17
8/28/25 8:10:01 AM,C,17
8/28/25 8:20:01 AM,C,17
8/28/25 8:30:01 AM,C,17
8/28/25 8:40:01 AM,C,17
8/28/25 8:50:01 AM,C,17.5
8/28/25 9:00:01 AM,C,17.5
8/28/25 9:10:01 AM,C,17.5
8/28/25 9:20:01 AM,C,17.5
8/28/25 9:30:01 AM,C,17.5
8/28/25 9:40:01 AM,C,17.5
8/28/25 9:50:01 AM,C,17.5
8/28/25 10:00:01 AM,C,17.5
8/28/25 10:10:01 AM,C,17.5
8/28/25 10:20:01 AM,C,17.5
8/28/25 10:30:01 AM,C,17.5
8/28/25 10:40:01 AM,C,17.5
8/28/25 10:50:01 AM,C,17.5
8/28/25 11:00:01 AM,C,17.5
8/28/25 11:10:01 AM,C,17.5
8/28/25 11:20:01 AM,C,17.5
8/28/25 11:30:01 AM,C,17.5
8/28/25 11:40:01 AM,C,18
8/28/25 11:50:01 AM,C,18
8/28/25 12:00:01 PM,C,18
8/28/25 12:10:01 PM,C,18
8/28/25 12:20:01 PM,C,18
8/28/25 12:30:01 PM,C,18
8/28/25 12:40:01 PM,C,18
8/28/25 12:50:01 PM,C,18
8/28/25 1:00:01 PM,C,18
8/28/25 1:10:01 PM,C,18
8/28/25 1:20:01 PM,C,18
8/28/25 1:30:01 PM,C,18
8/28/25 1:40:01 PM,C,18
8/28/25 1:50:01 PM,C,18
8/28/25 2:00:01 PM,C,18
8/28/25 2:10:01 PM,C,18
8/28/25 2:20:01 PM,C,18
8/28/25 2:30:01 PM,C,18
8/28/25 2:40:01 PM,C,18
8/28/25 2:50:01 PM,C,18
8/28/25 3:00:01 PM,C,18
8/28/25 3:10:01 PM,C,18
8/28/25 3:20:01 PM,C,18
8/28/25 3:30:01 PM,C,18.5
8/28/25 3:40:01 PM,C,18
8/28/25 3:50:01 PM,C,18.5
8/28/25 4:00:01 PM,C,18
8/28/25 4:10:01 PM,C,18.5
8/28/25 4:20:01 PM,C,18.5
8/28/25 4:30:01 PM,C,18
8/28/25 4:40:01 PM,C,18.5
8/28/25 4:50:01 PM,C,18
8/28/25 5:00:01 PM,C,18.5
8/28/25 5:10:01 PM,C,18.5
8/28/25 5:20:01 PM,C,18.5
8/28/25 5:30:01 PM,C,18.5
8/28/25 5:40:01 PM,C,18.5
8/28/25 5:50:01 PM,C,18.5
8/28/25 6:00:01 PM,C,18.5
8/28/25 6:10:01 PM,C,18.5
8/28/25 6:20:01 PM,C,18.5
8/28/25 6:30:01 PM,C,18.5
8/28/25 6:40:01 PM,C,18
8/28/25 6:50:01 PM,C,18.5
8/28/25 7:00:01 PM,C,18.5
8/28/25 7:10:01 PM,C,18
8/28/25 7:20:01 PM,C,18
8/28/25 7:30:01 PM,C,18.5
8/28/25 7:40:01 PM,C,18.5
8/28/25 7:50:01 PM,C,18.5
8/28/25 8:00:01 PM,C,22
8/28/25 8:10:01 PM,C,19
8/28/25 8:20:01 PM,C,19
8/28/25 8:30:01 PM,C,19
8/28/25 8:40:01 PM,C,19
8/28/25 8:50:01 PM,C,19
8/28/25 9:00:01 PM,C,19
8/28/25 9:10:01 PM,C,19
8/28/25 9:20:01 PM,C,19
8/28/25 9:30:01 PM,C,19
8/28/25 9:40:01 PM,C,19
8/28/25 9:50:01 PM,C,19
8/28/25 10:00:01 PM,C,19
8/28/25 10:10:01 PM,C,19
8/28/25 10:20:01 PM,C,18.5
8/28/25 10:30:01 PM,C,18.5
8/28/25 10:40:01 PM,C,18
8/28/25 10:50:01 PM,C,18
8/28/25 11:00:01 PM,C,17.5
8/28/25 11:10:01 PM,C,17.5
8/28/25 11:20:01 PM,C,17
8/28/25 11:30:01 PM,C,17
8/28/25 11:40:01 PM,C,16.5
8/28/25 11:50:01 PM,C,16.5
8/29/25 12:00:01 AM,C,17
8/29/25 12:10:01 AM,C,16.5
8/29/25 12:20:01 AM,C,16
8/29/25 12:30:01 AM,C,16
8/29/25 12:40:01 AM,C,16
8/29/25 12:50:01 AM,C,16
8/29/25 1:00:01 AM,C,16
8/29/25 1:10:01 AM,C,16
8/29/25 1:20:01 AM,C,16
8/29/25 1:30:01 AM,C,15.5
8/29/25 1:40:01 AM,C,16
8/29/25 1:50:01 AM,C,16
8/29/25 2:00:01 AM,C,15.5
8/29/25 2:10:01 AM,C,15.5
8/29/25 2:20:01 AM,C,15.5
8/29/25 2:30:01 AM,C,15.5
8/29/25 2:40:01 AM,C,15.5
8/29/25 2:50:01 AM,C,15.5
8/29/25 3:00:01 AM,C,15.5
8/29/25 3:10:01 AM,C,16
8/29/25 3:20:01 AM,C,15.5
8/29/25 3:30:01 AM,C,15.5
8/29/25 3:40:01 AM,C,15.5
8/29/25 3:50:01 AM,C,15.5
8/29/25 4:00:01 AM,C,15.5
8/29/25 4:10:01 AM,C,15.5
8/29/25 4:20:01 AM,C,15.5
8/29/25 4:30:01 AM,C,15.5
8/29/25 4:40:01 AM,C,15.5
8/29/25 4:50:01 AM,C,15.5
8/29/25 5:00:01 AM,C,15.5
8/29/25 5:10:01 AM,C,15.5
8/29/25 5:20:01 AM,C,15.5
8/29/25 5:30:01 AM,C,15.5
8/29/25 5:40:01 AM,C,15.5
8/29/25 5:50:01 AM,C,15.5
8/29/25 6:00:01 AM,C,15.5
8/29/25 6:10:01 AM,C,15.5
8/29/25 6:20:01 AM,C,15.5
8/29/25 6:30:01 AM,C,16
8/29/25 6:40:01 AM,C,16
8/29/25 6:50:01 AM,C,16.5
8/29/25 7:00:01 AM,C,16.5
8/29/25 7:10:01 AM,C,17
8/29/25 7:20:01 AM,C,17
8/29/25 7:30:01 AM,C,17
8/29/25 7:40:01 AM,C,17.5
8/29/25 7:50:01 AM,C,17.5
8/29/25 8:00:01 AM,C,17.5
8/29/25 8:10:01 AM,C,17.5
8/29/25 8:20:01 AM,C,17.5
8/29/25 8:30:01 AM,C,18
8/29/25 8:40:01 AM,C,18
8/29/25 8:50:01 AM,C,18
8/29/25 9:00:01 AM,C,18
8/29/25 9:10:01 AM,C,18
8/29/25 9:20:01 AM,C,18
8/29/25 9:30:01 AM,C,18
8/29/25 9:40:01 AM,C,18
8/29/25 9:50:01 AM,C,18.5
8/29/25 10:00:01 AM,C,18
8/29/25 10:10:01 AM,C,18.5
8/29/25 10:20:01 AM,C,18.5
8/29/25 10:30:01 AM,C,18.5
8/29/25 10:40:01 AM,C,18.5
8/29/25 10:50:01 AM,C,18.5
8/29/25 11:00:01 AM,C,18.5
8/29/25 11:10:01 AM,C,18.5
8/29/25 11:20:01 AM,C,18.5
8/29/25 11:30:01 AM,C,18.5
8/29/25 11:40:01 AM,C,18.5
8/29/25 11:50:01 AM,C,18.5
8/29/25 12:00:01 PM,C,18.5
8/29/25 12:10:01 PM,C,18.5
8/29/25 12:20:01 PM,C,18.5
8/29/25 12:30:01 PM,C,18.5
8/29/25 12:40:01 PM,C,18.5
8/29/25 12:50:01 PM,C,18.5
8/29/25 1:00:01 PM,C,18.5
8/29/25 1:10:01 PM,C,18.5
8/29/25 1:20:01 PM,C,18.5
8/29/25 1:30:01 PM,C,18.5
8/29/25 1:40:01 PM,C,18.5
8/29/25 1:50:01 PM,C,18.5
8/29/25 2:00:01 PM,C,18.5
8/29/25 2:10:01 PM,C,19
8/29/25 2:20:01 PM,C,18.5
8/29/25 2:30:01 PM,C,18.5
8/29/25 2:40:01 PM,C,18.5
8/29/25 2:50:01 PM,C,18.5
8/29/25 3:00:01 PM,C,18.5
8/29/25 3:10:01 PM,C,18.5
8/29/25 3:20:01 PM,C,18.5
8/29/25 3:30:01 PM,C,18.5
8/29/25 3:40:01 PM,C,18.5
8/29/25 3:50:01 PM,C,18.5
8/29/25 4:00:01 PM,C,18.5
8/29/25 4:10:01 PM,C,18.5
8/29/25 4:20:01 PM,C,19
8/29/25 4:30:01 PM,C,18.5
8/29/25 4:40:01 PM,C,19
8/29/25 4:50:01 PM,C,18.5
8/29/25 5:00:01 PM,C,18.5
8/29/25 5:10:01 PM,C,18.5
8/29/25 5:20:01 PM,C,18.5
8/29/25 5:30:01 PM,C,18.5
8/29/25 5:40:01 PM,C,18.5
8/29/25 5:50:01 PM,C,18.5
8/29/25 6:00:01 PM,C,18.5
8/29/25 6:10:01 PM,C,18.5
8/29/25 6:20:01 PM,C,18.5
8/29/25 6:30:01 PM,C,19
8/29/25 6:40:01 PM,C,18.5
8/29/25 6:50:01 PM,C,18.5
8/29/25 7:00:01 PM,C,18.5
8/29/25 7:10:01 PM,C,18.5
8/29/25 7:20:01 PM,C,18.5
8/29/25 7:30:01 PM,C,18.5
8/29/25 7:40:01 PM,C,18.5
8/29/25 7:50:01 PM,C,18.5
8/29/25 8:00:01 PM,C,18.5
8/29/25 8:10:01 PM,C,18.5
8/29/25 8:20:01 PM,C,18.5
8/29/25 8:30:01 PM,C,18.5
8/29/25 8:40:01 PM,C,18.5
8/29/25 8:50:01 PM,C,18.5
8/29/25 9:00:01 PM,C,18.5
8/29/25 9:10:01 PM,C,18.5
8/29/25 9:20:01 PM,C,18.5
8/29/25 9:30:01 PM,C,19
8/29/25 9:40:01 PM,C,18.5
8/29/25 9:50:01 PM,C,19
8/29/25 10:00:01 PM,C,19
8/29/25 10:10:01 PM,C,18.5
8/29/25 10:20:01 PM,C,18
8/29/25 10:30:01 PM,C,17.5
8/29/25 10:40:01 PM,C,17.5
8/29/25 10:50:01 PM,C,17
8/29/25 11:00:01 PM,C,17
8/29/25 11:10:01 PM,C,17
8/29/25 11:20:01 PM,C,17
8/29/25 11:30:01 PM,C,16.5
8/29/25 11:40:01 PM,C,16
8/29/25 11:50:01 PM,C,16
8/30/25 12:00:01 AM,C,16
8/30/25 12:10:01 AM,C,16.5
8/30/25 12:20:01 AM,C,16
8/30/25 12:30:01 AM,C,16
8/30/25 12:40:01 AM,C,15.5
8/30/25 12:50:01 AM,C,16
8/30/25 1:00:01 AM,C,16
8/30/25 1:10:01 AM,C,15.5
8/30/25 1:20:01 AM,C,16
8/30/25 1:30:01 AM,C,15.5
8/30/25 1:40:01 AM,C,15.5
8/30/25 1:50:01 AM,C,15.5
8/30/25 2:00:01 AM,C,15.5
8/30/25 2:10:01 AM,C,16
8/30/25 2:20:01 AM,C,15.5
8/30/25 2:30:01 AM,C,16
8/30/25 2:40:01 AM,C,15.5
8/30/25 2:50:01 AM,C,15.5
8/30/25 3:00:01 AM,C,15.5
8/30/25 3:10:01 AM,C,15.5
8/30/25 3:20:01 AM,C,15.5
8/30/25 3:30:01 AM,C,15.5
8/30/25 3:40:01 AM,C,15
8/30/25 3:50:01 AM,C,15.5
8/30/25 4:00:01 AM,C,15.5
8/30/25 4:10:01 AM,C,15.5
8/30/25 4:20:01 AM,C,15.5
8/30/25 4:30:01 AM,C,15.5
8/30/25 4:40:01 AM,C,15.5
8/30/25 4:50:01 AM,C,15
8/30/25 5:00:01 AM,C,15.5
8/30/25 5:10:01 AM,C,15.5
8/30/25 5:20:01 AM,C,15.5
8/30/25 5:30:01 AM,C,15.5
8/30/25 5:40:01 AM,C,15.5
8/30/25 5:50:01 AM,C,15.5
8/30/25 6:00:01 AM,C,15
8/30/25 6:10:01 AM,C,15.5
8/30/25 6:20:01 AM,C,15
8/30/25 6:30:01 AM,C,15.5
8/30/25 6:40:01 AM,C,15.5
8/30/25 6:50:01 AM,C,15.5
8/30/25 7:00:01 AM,C,15.5
8/30/25 7:10:01 AM,C,15.5
8/30/25 7:20:01 AM,C,16
8/30/25 7:30:01 AM,C,16
8/30/25 7:40:01 AM,C,16.5
8/30/25 7:50:01 AM,C,16.5
8/30/25 8:00:01 AM,C,16.5
8/30/25 8:10:01 AM,C,17
8/30/25 8:20:01 AM,C,17
8/30/25 8:30:01 AM,C,17
8/30/25 8:40:01 AM,C,17
8/30/25 8:50:01 AM,C,17.5
8/30/25 9:00:01 AM,C,17.5
8/30/25 9:10:01 AM,C,17.5
8/30/25 9:20:01 AM,C,17.5
8/30/25 9:30:01 AM,C,17.5
8/30/25 9:40:01 AM,C,17.5
8/30/25 9:50:01 AM,C,17.5
8/30/25 10:00:01 AM,C,18
8/30/25 10:10:01 AM,C,18
8/30/25 10:20:01 AM,C,18
8/30/25 10:30:01 AM,C,18
8/30/25 10:40:01 AM,C,18
8/30/25 10:50:01 AM,C,18
8/30/25 11:00:01 AM,C,18
8/30/25 11:10:01 AM,C,18
8/30/25 11:20:01 AM,C,18
8/30/25 11:30:01 AM,C,18
8/30/25 11:40:01 AM,C,18
8/30/25 11:50:01 AM,C,18
8/30/25 12:00:01 PM,C,18
8/30/25 12:10:01 PM,C,18
8/30/25 12:20:01 PM,C,18
8/30/25 12:30:01 PM,C,18
8/30/25 12:40:01 PM,C,18
8/30/25 12:50:01 PM,C,18
8/30/25 1:00:01 PM,C,18
8/30/25 1:10:01 PM,C,18
8/30/25 1:20:01 PM,C,18
8/30/25 1:30:01 PM,C,18
8/30/25 1:40:01 PM,C,18
8/30/25 1:50:01 PM,C,18.5
8/30/25 2:00:01 PM,C,18
8/30/25 2:10:01 PM,C,18
8/30/25 2:20:01 PM,C,18.5
8/30/25 2:30:01 PM,C,18.5
8/30/25 2:40:01 PM,C,18
8/30/25 2:50:01 PM,C,18.5
8/30/25 3:00:01 PM,C,18.5
8/30/25 3:10:01 PM,C,18.5
8/30/25 3:20:01 PM,C,18.5
8/30/25 3:30:01 PM,C,18.5
8/30/25 3:40:01 PM,C,18.5
8/30/25 3:50:01 PM,C,18
8/30/25 4:00:01 PM,C,18
8/30/25 4:10:01 PM,C,18
8/30/25 4:20:01 PM,C,18
8/30/25 4:30:01 PM,C,18
8/30/25 4:40:01 PM,C,18
8/30/25 4:50:01 PM,C,18
8/30/25 5:00:01 PM,C,17.5
8/30/25 5:10:01 PM,C,18
8/30/25 5:20:01 PM,C,18
8/30/25 5:30:01 PM,C,18
8/30/25 5:40:01 PM,C,18
8/30/25 5:50:01 PM,C,18
8/30/25 6:00:01 PM,C,18
8/30/25 6:10:01 PM,C,18.5
8/30/25 6:20:01 PM,C,18
8/30/25 6:30:01 PM,C,18
8/30/25 6:40:01 PM,C,18.5
8/30/25 6:50:01 PM,C,18.5
8/30/25 7:00:01 PM,C,18
8/30/25 7:10:01 PM,C,18
8/30/25 7:20:01 PM,C,18
8/30/25 7:30:01 PM,C,18
8/30/25 7:40:01 PM,C,18
8/30/25 7:50:01 PM,C,18
8/30/25 8:00:01 PM,C,18
8/30/25 8:10:01 PM,C,17.5
8/30/25 8:20:01 PM,C,18
8/30/25 8:30:01 PM,C,18
8/30/25 8:40:01 PM,C,18
8/30/25 8:50:01 PM,C,17.5
8/30/25 9:00:01 PM,C,18
8/30/25 9:10:01 PM,C,18
8/30/25 9:20:01 PM,C,17.5
8/30/25 9:30:01 PM,C,18
8/30/25 9:40:01 PM,C,18
8/30/25 9:50:01 PM,C,17.5
8/30/25 10:00:01 PM,C,18
8/30/25 10:10:01 PM,C,16.5
8/30/25 10:20:01 PM,C,15.5
8/30/25 10:30:01 PM,C,15.5
8/30/25 10:40:01 PM,C,15
8/30/25 10:50:01 PM,C,15
8/30/25 11:00:01 PM,C,15.5
8/30/25 11:10:01 PM,C,16
8/30/25 11:20:01 PM,C,15
8/30/25 11:30:01 PM,C,15.5
8/30/25 11:40:01 PM,C,10
8/30/25 11:50:01 PM,C,15.5
8/31/25 12:00:01 AM,C,14.5
8/31/25 12:10:01 AM,C,16
8/31/25 12:20:01 AM,C,15
8/31/25 12:30:01 AM,C,15
8/31/25 12:40:01 AM,C,15.5
8/31/25 12:50:01 AM,C,14.5
8/31/25 1:00:01 AM,C,15.5
8/31/25 1:10:01 AM,C,15
8/31/25 1:20:01 AM,C,15.5
8/31/25 1:30:01 AM,C,15
8/31/25 1:40:01 AM,C,15.5
8/31/25 1:50:01 AM,C,15
8/31/25 2:00:01 AM,C,15.5
8/31/25 2:10:01 AM,C,15
8/31/25 2:20:01 AM,C,16
8/31/25 2:30:01 AM,C,15
8/31/25 2:40:01 AM,C,15
8/31/25 2:50:01 AM,C,15.5
8/31/25 3:00:01 AM,C,15
8/31/25 3:10:01 AM,C,15
8/31/25 3:20:01 AM,C,15
8/31/25 3:30:01 AM,C,15.5
8/31/25 3:40:01 AM,C,14.5
8/31/25 3:50:01 AM,C,15.5
8/31/25 4:00:01 AM,C,16
8/31/25 4:10:01 AM,C,14.5
8/31/25 4:20:01 AM,C,16.5
8/31/25 4:30:01 AM,C,15
8/31/25 4:40:01 AM,C,15.5
8/31/25 4:50:01 AM,C,16
8/31/25 5:00:01 AM,C,15
8/31/25 5:10:01 AM,C,16.5
8/31/25 5:20:01 AM,C,14.5
8/31/25 5:30:01 AM,C,15.5
8/31/25 5:40:01 AM,C,15.5
